index;f1;f2;f3;f4;f5;f6;f7;f8;f9;f10;f11;f12;f13;f14;f15;f16;f17;f18;f19;f20;f21;f22;f23;f24;f25;f26;f27;f28;f29;f30;f31;f32;f33;f34;f35;f36;f37;f38;f39;f40;f41;TouristsIndia
01.01.2011;20263;19731;3569;4443;3398;1722;9158;3335;3445;2377;21693;19731;3724;4702;3563;1781;9531;3485;3445;2601;21399;20759;3674;4608;3542;1804;9702;3638;3566;2498;22833;20759;3821;4852;3704;1873;10167;3848;3566;2752;18952;1785510
01.04.2011;20963;19165;3577;4556;3500;1828;9720;3342;3951;2426;20435;19165;3232;4602;3509;1822;9508;3301;3951;2257;21772;19691;3700;4748;3603;1877;10022;3459;4045;2519;21029;19691;3361;4702;3560;1868;9760;3387;4045;2329;16211;1236608
01.07.2011;21423;19003;3659;4483;3342;1934;10043;3448;4077;2518;20295;19003;2702;4320;3299;1891;10089;3376;4077;2637;21455;19132;3703;4469;3346;1960;10153;3498;4106;2548;20429;19132;2691;4365;3331;1907;10169;3405;4106;2658;18598;1318627
01.10.2011;22145;20912;3886;4644;3498;1990;9620;3576;3431;2613;22449;20912;5055;4485;3347;1971;9400;3516;3431;2454;21876;20739;3831;4577;3443;1972;9530;3541;3403;2585;22251;20739;5010;4451;3337;1957;9321;3490;3403;2428;23830;1968477
01.01.2012;22832;21990;3898;4894;3760;2021;10317;3765;3851;2702;24185;21990;4029;5170;3945;2089;10701;3938;3851;2913;22260;21507;3785;4783;3708;1965;9995;3632;3754;2608;23655;21507;3958;5058;3872;2041;10450;3850;3754;2846;24968;1960168
01.04.2012;23712;21874;3996;4959;3732;2040;11396;3993;4611;2793;23132;21874;3601;5047;3746;2032;11194;3943;4611;2640;22584;20746;3778;4765;3598;1906;10864;3809;4425;2630;22052;20746;3412;4776;3583;1899;10659;3741;4425;2493;18792;1256349
01.07.2012;24508;22022;4083;5205;3976;2073;11805;4114;4799;2891;23570;22022;3030;5083;3959;2026;11883;4038;4799;3046;22862;20479;3795;4859;3732;1918;11063;3868;4528;2666;21959;20479;2744;4769;3740;1861;11105;3769;4528;2808;22301;1348438
01.10.2012;25144;23569;4229;5217;3964;2137;11106;4199;4005;2902;25484;23569;5576;5027;3778;2120;10846;4126;4005;2716;23157;21775;3810;4865;3713;1956;10352;3895;3780;2677;23448;21775;5060;4686;3558;1941;10088;3832;3780;2476;28426;2012790
01.01.2013;26075;24562;4443;5360;4057;2243;11735;4334;4352;3050;27255;24562;4545;5583;4245;2316;12118;4532;4352;3234;23526;22463;3860;4922;3826;2021;10729;3939;4067;2723;24671;22463;4027;5180;3988;2100;11156;4169;4067;2919;30585;2048475
01.04.2013;26700;24414;4548;5353;4102;2210;12830;4342;5340;3149;25654;24414;4077;5467;4131;2218;12651;4275;5340;3037;23874;22062;3952;4922;3804;1982;11662;3954;4949;2759;23474;22062;3544;5007;3831;1987;11524;3888;4949;2687;21002;1316877
01.07.2013;27641;25119;4705;5600;4237;2287;13704;4653;5857;3194;26862;25119;3508;5526;4244;2244;13840;4569;5857;3414;24266;21939;3986;5005;3851;2003;12131;4134;5242;2755;23571;21939;2894;4933;3876;1945;12167;4019;5242;2906;24782;1449261
01.10.2013;28622;27061;5066;5808;4385;2334;12702;4888;4593;3221;29211;27061;6701;5557;4162;2317;12486;4809;4593;3084;24791;23149;4080;5150;3977;2000;11102;4259;4098;2745;24980;23149;5394;4912;3772;1985;10859;4180;4098;2581;31302;2152989
01.01.2014;29372;27038;4944;5933;4411;2385;13222;4862;4905;3455;30609;27038;4977;6144;4597;2436;13481;5092;4905;3484;25082;23486;4074;5158;3975;2022;11408;4174;4385;2850;25989;23486;4260;5382;4129;2091;11753;4434;4385;2934;33653;2203901
01.04.2014;30074;28079;5090;6100;4663;2440;14867;5131;6208;3528;29144;28079;4610;6359;4712;2475;14635;5082;6208;3346;25648;23772;4018;5373;4145;2078;12691;4385;5401;2906;25358;23772;3627;5556;4222;2096;12493;4323;5401;2770;25481;1505103
01.07.2014;30919;28706;5284;6176;4741;2506;15906;5295;6951;3660;30540;28706;4043;6170;4765;2464;16029;5176;6951;3901;26123;23794;4028;5437;4204;2113;13388;4480;5928;2980;25622;23794;2995;5366;4238;2049;13384;4328;5928;3128;29726;1651006
01.10.2014;31531;29404;5236;6167;4613;2435;14383;5272;5208;3902;31849;29404;6889;5786;4352;2423;14305;5147;5208;3950;26518;24570;4011;5434;4157;2079;12200;4519;4595;3086;26459;24570;5229;5117;3898;2066;12158;4407;4595;3157;34460;2319088
01.01.2015;32156;28854;5325;6248;4768;2409;14468;5378;5266;3824;33147;28854;5394;6376;4955;2428;14656;5671;5266;3718;26988;24986;4001;5622;4334;2082;12566;4693;4814;3059;27837;24986;4207;5828;4482;2142;12810;5019;4814;2977;34875;2279706
01.04.2015;33161;30710;5433;6692;5183;2484;16482;5597;6921;3964;32417;30710;4990;6994;5231;2535;16191;5559;6921;3712;27605;25630;4015;5873;4550;2161;13887;4810;5964;3113;27321;25630;3712;6097;4648;2185;13636;4754;5964;2918;29160;1565291
01.07.2015;33900;30901;5499;6807;5235;2428;17495;5630;7752;4112;33541;30901;4236;6769;5264;2373;17524;5441;7752;4331;28182;25812;4035;6058;4687;2133;14768;4881;6717;3170;27723;25812;3077;5951;4714;2060;14724;4679;6717;3328;33808;1773996
01.10.2015;34794;32030;5563;6968;5292;2484;15811;5778;5785;4249;34749;32030;7206;6519;4990;2484;15820;5608;5785;4427;28697;26395;4012;6207;4798;2177;13290;4995;5073;3222;28400;26395;5111;5829;4492;2167;13288;4846;5073;3369;37350;2408140
01.01.2016;35785;32025;5759;7076;5451;2527;16159;6027;5855;4276;36933;32025;5822;7261;5677;2530;16412;6425;5855;4132;29378;27196;4090;6377;4953;2194;13758;5251;5246;3262;30417;27196;4252;6637;5134;2252;14055;5657;5246;3152;40317;2500453
01.04.2016;36809;33638;6126;7218;5733;2548;18268;6070;7670;4528;35985;33638;5632;7488;5750;2607;17911;6027;7670;4214;29841;27751;4202;6476;5003;2224;15178;5220;6592;3366;29534;27751;3870;6719;5107;2251;14911;5176;6592;3143;32432;1664034
01.07.2016;37682;33911;6166;7428;5721;2570;19471;6157;8559;4755;37153;33911;4758;7279;5750;2502;19373;5906;8559;4908;30285;27682;4266;6578;5069;2218;16017;5253;7272;3492;29835;27682;3247;6414;5077;2139;15882;5017;7272;3593;38480;1989797
01.10.2016;38526;35179;6190;7688;5854;2594;17332;6345;6091;4896;38503;35179;7992;7225;5532;2611;17351;6152;6091;5108;30706;28214;4333;6739;5171;2229;14180;5372;5217;3592;30321;28214;5495;6341;4855;2227;14150;5207;5217;3727;42917;2641323
